DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
169472,5411.9,2948.43,6820.61,6811.41,5184.15,7427.44
169984,5370.71,3108.88,6925.38,6951.52,5416.65,7471.86
170496,5541.09,3069.27,6829.54,6924.94,5204.79,7472.32
171008,5471.21,3118.04,6929.21,6969.48,5225.77,7489.25
171520,5514.23,2913.48,6847.55,6983.19,5210.7,7517.2
172032,5501.02,2985.56,6970.7,6888.75,5306.03,7514.77
172544,5501.16,2946.4,6946.59,6963.05,5240.47,7534.38
173056,5312.87,2917.12,6955.46,6932.08,5232.03,7507.24
173568,5547.16,2995.21,6908.49,7013.87,5254.17,7456.19
174080,5569.5,2962.03,7245.79,6898.92,5130.27,7595.88
174592,5635.79,2984.37,7024.3,7014.83,5386.38,7497.47
175104,5458.69,2945.4,6895.94,7025.92,5299.32,7585.04
175616,5501.99,2982.2,6945.94,6976.03,5258.74,7519.78
176128,5548.65,3002.02,7045.67,7052.77,5286.03,7568.89
176640,5406.19,3060.63,7051.95,7116.3,5325.53,7552.77
177152,5519.65,3025.96,7065.29,7091.39,5394.17,7593.73
177664,5638.76,3129.78,6996.76,7057.38,5405.61,7577.53
178176,5725.13,3196.9,7424.06,7139.57,5388.19,7610.26
178688,5710.8,3256.58,7058.07,7150.48,5405.04,7564.37
179200,5751.83,3233.77,7135.04,7303.35,5416.41,7681.52
179712,5780.72,3270.74,7035.58,7193.87,5403.11,7527.53
180224,5721.54,3075.35,7161.46,7095.24,5514.47,7694.98
180736,5771.61,3083.2,7146.07,7169.85,5480.9,7651.07
181248,5746.4,3080.47,7149.72,7211.76,5454.8,7672.74
181760,5754.97,3095.35,6865.49,7060.11,5393.95,7672.62
182272,5507.86,2997.45,6904.52,7124.1,5395.71,7629.39
182784,5690.66,2977.12,7116.12,7037.97,5397.46,7650.83
183296,5681.38,3078.85,7089.74,7480.52,5391.21,7672.26
183808,5787.54,3292.5,7200.66,7179.43,5441.18,7690.99
184320,5846.9,3286.86,7147.9,7168.89,5479.47,7629.39
184832,6002.1,3309.36,7271.85,7214.7,5515.32,7624.11
185344,5820.53,3255.45,7237.05,7208.72,5485.28,7690.47
185856,5842.76,3151.6,7254.67,7200.44,5488.18,7608.43
186368,5689.32,3060.59,7220.28,7222.63,5468.08,7682.16
186880,5771.46,3182.55,7273.21,7273.21,5555.57,7805.83
